,Tick,nombre,curr_id,smlID,header
57,DJUSFV,dow-jones-us-financial-service,40824,2057418,Dow Jones Financial Services Composite Historical Data
58,DJUSGF,dj-us-financials-services-sector,40825,2057430,Dow Jones Financial Services Historical Data
59,DJUSGI,dj-general-industrials,19984,2039777,Dow Jones General Industrials Historical Data
60,DJUSGT,dj-general-retailers,19985,2039789,Dow Jones General Retailers Historical Data
61,DJUSGU,dj-gas-distribution,20048,2040545,Dow Jones Gas Distribution Historical Data
62,DJUSHB,dj-home-construction,20052,2040593,Dow Jones Home Construction Historical Data
63,DJUSHC,dj-health-care,19958,2039465,Dow Jones Health Care Historical Data
64,DJUSHD,dj-durable-household-products,20034,2040377,Dow Jones Durable Household Products Historical Data
65,DJUSHG,dj-household-goods---home-construct,19987,2039813,Dow Jones Household Goods &amp; Home Construction Historical Data
66,DJUSHI,dj-home-improvement-retailers,20053,2040605,Dow Jones Home Improvement Retailers Historical Data
67,DJUSHL,dj-hotel---lodging-reits,20055,2040629,Dow Jones Hotel &amp; Lodging REITs Historical Data
68,DJUSHN,dj-nondurable-household-products,20073,2040845,DowJones Nondurable Household Products Historical Data
69,DJUSHP,dj-health-care-providers,20050,2040569,Dow Jones Health Care Providers Historical Data
70,DJUSHR,dj-commercial-vehicles---trucks,20020,2040209,Dow Jones Commercial Vehicles &amp; Trucks Historical Data
71,DJUSHV,dj-heavy-construction,20051,2040581,Dow Jones Heavy Construction Historical Data
72,DJUSIB,dj-insurance-brokers,20059,2040677,Dow Jones Insurance Brokers Historical Data
73,DJUSID,dj-diversified-industrials,20031,2040341,Dow Jones Diversified Industrials Historical Data
74,DJUSIF,dj-full-line-insurance,20045,2040509,Dow Jones Full Line Insurance Historical Data
75,DJUSIG,dj-industrial-goods---srvcs,19969,2039597,Dow Jones Industrial Goods &amp; Services Historical Data
76,DJUSIL,dj-life-insurance,20064,2040737,Dow Jones Life Insurance Historical Data
77,DJUSIM,dj-industrial-metals---mining,19989,2039837,Dow Jones Industrial Metals &amp; Mining Historical Data
78,DJUSIN,dj-industrials,19959,2039477,Dow Jones Industrials Historical Data
79,DJUSIO,dj-industrial---office-reits,20057,2040653,Dow Jones Industrial &amp; Office REITs Historical Data
80,DJUSIP,dj-property-casualty-insurance,20081,2040941,Dow Jones Property &amp; Casualty Insurance Historical Data
